CountryCode,Coordinates,Name,Comments,OffsetUTC,OffsetUTCDST,Notes,CountryCodeISO,CountryCodeISOWiki,Link,OffsetUTCMinutes,OffsetUTCDSTMinutes
MR,+1806-01557,Africa/Nouakchott,,+00:00,+00:00,,ISO 3166-1:MR,/wiki/ISO_3166-1:MR,,0,0
BF,+1222-00131,Africa/Ouagadougou,,+00:00,+00:00,,ISO 3166-1:BF,/wiki/ISO_3166-1:BF,,0,0
BJ,+0629+00237,Africa/Porto-Novo,,+01:00,+01:00,,ISO 3166-1:BJ,/wiki/ISO_3166-1:BJ,,60,60
ST,+0020+00644,Africa/Sao_Tome,,+00:00,+00:00,,ISO 3166-1:ST,/wiki/ISO_3166-1:ST,,0,0
,,Africa/Timbuktu,,+00:00,+00:00,Link to Africa/Bamako,,,Africa/Bamako,0,0
LY,+3254+01311,Africa/Tripoli,,+01:00,+02:00,,ISO 3166-1:LY,/wiki/ISO_3166-1:LY,,60,120
TN,+3648+01011,Africa/Tunis,,+01:00,+01:00,,ISO 3166-1:TN,/wiki/ISO_3166-1:TN,,60,60
NA,-2234+01706,Africa/Windhoek,,+01:00,+02:00,,ISO 3166-1:NA,/wiki/ISO_3166-1:NA,,60,120
,,AKST9AKDT,,-09:00,-08:00,Link to America/Anchorage,,,America/Anchorage,-540,-480
US,+515248-1763929,America/Adak,Aleutian Islands,-10:00,-09:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-600,-540
US,+611305-1495401,America/Anchorage,Alaska Time,-09:00,-08:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-540,-480
AI,+1812-06304,America/Anguilla,,-04:00,-04:00,,ISO 3166-1:AI,/wiki/ISO_3166-1:AI,,-240,-240
AG,+1703-06148,America/Antigua,,-04:00,-04:00,,ISO 3166-1:AG,/wiki/ISO_3166-1:AG,,-240,-240
BR,-0712-04812,America/Araguaina,Tocantins,-03:00,-03:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-180,-180
AR,-3436-05827,America/Argentina/Buenos_Aires,"Buenos Aires (BA, CF)",-03:00,-03:00,,ISO 3166-1:AR,/wiki/ISO_3166-1:AR,,-180,-180
AR,-2828-06547,America/Argentina/Catamarca,"Catamarca (CT), Chubut (CH)",-03:00,-03:00,,ISO 3166-1:AR,/wiki/ISO_3166-1:AR,,-180,-180
,,America/Argentina/ComodRivadavia,,-03:00,-03:00,Link to America/Argentina/Catamarca,,,America/Argentina/Catamarca,-180,-180
AR,-3124-06411,America/Argentina/Cordoba,"most locations (CB, CC, CN, ER, FM, MN, SE, SF)",-03:00,-03:00,,ISO 3166-1:AR,/wiki/ISO_3166-1:AR,,-180,-180
AR,-2411-06518,America/Argentina/Jujuy,Jujuy (JY),-03:00,-03:00,,ISO 3166-1:AR,/wiki/ISO_3166-1:AR,,-180,-180
AR,-2926-06651,America/Argentina/La_Rioja,La Rioja (LR),-03:00,-03:00,,ISO 3166-1:AR,/wiki/ISO_3166-1:AR,,-180,-180
AR,-3253-06849,America/Argentina/Mendoza,Mendoza (MZ),-03:00,-03:00,,ISO 3166-1:AR,/wiki/ISO_3166-1:AR,,-180,-180
AR,-5138-06913,America/Argentina/Rio_Gallegos,Santa Cruz (SC),-03:00,-03:00,,ISO 3166-1:AR,/wiki/ISO_3166-1:AR,,-180,-180
AR,-2447-06525,America/Argentina/Salta,"(SA, LP, NQ, RN)",-03:00,-03:00,,ISO 3166-1:AR,/wiki/ISO_3166-1:AR,,-180,-180
AR,-3132-06831,America/Argentina/San_Juan,San Juan (SJ),-03:00,-03:00,,ISO 3166-1:AR,/wiki/ISO_3166-1:AR,,-180,-180
AR,-3319-06621,America/Argentina/San_Luis,San Luis (SL),-03:00,-03:00,,ISO 3166-1:AR,/wiki/ISO_3166-1:AR,,-180,-180
AR,-2649-06513,America/Argentina/Tucuman,Tucuman (TM),-03:00,-03:00,,ISO 3166-1:AR,/wiki/ISO_3166-1:AR,,-180,-180
AR,-5448-06818,America/Argentina/Ushuaia,Tierra del Fuego (TF),-03:00,-03:00,,ISO 3166-1:AR,/wiki/ISO_3166-1:AR,,-180,-180
AW,+1230-06958,America/Aruba,,-04:00,-04:00,,ISO 3166-1:AW,/wiki/ISO_3166-1:AW,,-240,-240
PY,-2516-05740,America/Asuncion,,-04:00,-03:00,,ISO 3166-1:PY,/wiki/ISO_3166-1:PY,,-240,-180
CA,+484531-0913718,America/Atikokan,"Eastern Standard Time - Atikokan, Ontario and Southampton I, Nunavut",-05:00,-05:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-300,-300
,,America/Atka,,-10:00,-09:00,Link to America/Adak,,,America/Adak,-600,-540
BR,-1259-03831,America/Bahia,Bahia,-03:00,-03:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-180,-180
MX,+2048-10515,America/Bahia_Banderas,Mexican Central Time - Bahia de Banderas,-06:00,-05:00,,ISO 3166-1:MX,/wiki/ISO_3166-1:MX,,-360,-300
BB,+1306-05937,America/Barbados,,-04:00,-04:00,,ISO 3166-1:BB,/wiki/ISO_3166-1:BB,,-240,-240
BR,-0127-04829,America/Belem,"Amapa, E Para",-03:00,-03:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-180,-180
BZ,+1730-08812,America/Belize,,-06:00,-06:00,,ISO 3166-1:BZ,/wiki/ISO_3166-1:BZ,,-360,-360
CA,+5125-05707,America/Blanc-Sablon,Atlantic Standard Time - Quebec - Lower North Shore,-04:00,-04:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-240,-240
BR,+0249-06040,America/Boa_Vista,Roraima,-04:00,-04:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-240,-240
CO,+0436-07405,America/Bogota,,-05:00,-05:00,,ISO 3166-1:CO,/wiki/ISO_3166-1:CO,,-300,-300
US,+433649-1161209,America/Boise,Mountain Time - south Idaho & east Oregon,-07:00,-06:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-420,-360
,,America/Buenos_Aires,,-03:00,-03:00,Link to America/Argentina/Buenos_Aires,,,America/Argentina/Buenos_Aires,-180,-180
CA,+690650-1050310,America/Cambridge_Bay,Mountain Time - west Nunavut,-07:00,-06:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-420,-360
BR,-2027-05437,America/Campo_Grande,Mato Grosso do Sul,-04:00,-03:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-240,-180
MX,+2105-08646,America/Cancun,Central Time - Quintana Roo,-06:00,-05:00,,ISO 3166-1:MX,/wiki/ISO_3166-1:MX,,-360,-300
VE,+1030-06656,America/Caracas,,-04:30,-04:30,,ISO 3166-1:VE,/wiki/ISO_3166-1:VE,,-270,-270
,,America/Catamarca,,-03:00,-03:00,Link to America/Argentina/Catamarca,,,America/Argentina/Catamarca,-180,-180
GF,+0456-05220,America/Cayenne,,-03:00,-03:00,,ISO 3166-1:GF,/wiki/ISO_3166-1:GF,,-180,-180
KY,+1918-08123,America/Cayman,,-05:00,-05:00,,ISO 3166-1:KY,/wiki/ISO_3166-1:KY,,-300,-300
US,+415100-0873900,America/Chicago,Central Time,-06:00,-05:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-360,-300
MX,+2838-10605,America/Chihuahua,Mexican Mountain Time - Chihuahua away from US border,-07:00,-06:00,,ISO 3166-1:MX,/wiki/ISO_3166-1:MX,,-420,-360
,,America/Coral_Harbour,,-05:00,-05:00,Link to America/Atikokan,,,America/Atikokan,-300,-300
,,America/Cordoba,,-03:00,-03:00,Link to America/Argentina/Cordoba,,,America/Argentina/Cordoba,-180,-180
CR,+0956-08405,America/Costa_Rica,,-06:00,-06:00,,ISO 3166-1:CR,/wiki/ISO_3166-1:CR,,-360,-360
CA,+4906-11631,America/Creston,"Mountain Standard Time - Creston, British Columbia",-07:00,-07:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-420,-420
BR,-1535-05605,America/Cuiaba,Mato Grosso,-04:00,-03:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-240,-180
CW,+1211-06900,America/Curacao,,-04:00,-04:00,,ISO 3166-1:CW,/wiki/ISO_3166-1:CW,,-240,-240
GL,+7646-01840,America/Danmarkshavn,"east coast, north of Scoresbysund",+00:00,+00:00,,ISO 3166-1:GL,/wiki/ISO_3166-1:GL,,0,0
CA,+6404-13925,America/Dawson,Pacific Time - north Yukon,-08:00,-07:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-480,-420
CA,+5946-12014,America/Dawson_Creek,"Mountain Standard Time - Dawson Creek & Fort Saint John, British Columbia",-07:00,-07:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-420,-420
US,+394421-1045903,America/Denver,Mountain Time,-07:00,-06:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-420,-360
US,+421953-0830245,America/Detroit,Eastern Time - Michigan - most locations,-05:00,-04:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-300,-240
DM,+1518-06124,America/Dominica,,-04:00,-04:00,,ISO 3166-1:DM,/wiki/ISO_3166-1:DM,,-240,-240
CA,+5333-11328,America/Edmonton,"Mountain Time - Alberta, east British Columbia & west Saskatchewan",-07:00,-06:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-420,-360
BR,-0640-06952,America/Eirunepe,W Amazonas,-04:00,-04:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-240,-240
SV,+1342-08912,America/El_Salvador,,-06:00,-06:00,,ISO 3166-1:SV,/wiki/ISO_3166-1:SV,,-360,-360
,,America/Ensenada,,-08:00,-07:00,Link to America/Tijuana,,,America/Tijuana,-480,-420
,,America/Fort_Wayne,,-05:00,-04:00,Link to America/Indiana/Indianapolis,,,America/Indiana/Indianapolis,-300,-240
BR,-0343-03830,America/Fortaleza,"NE Brazil (MA, PI, CE, RN, PB)",-03:00,-03:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-180,-180
CA,+4612-05957,America/Glace_Bay,Atlantic Time - Nova Scotia - places that did not observe DST 1966-1971,-04:00,-03:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-240,-180
GL,+6411-05144,America/Godthab,most locations,-03:00,-02:00,,ISO 3166-1:GL,/wiki/ISO_3166-1:GL,,-180,-120
CA,+5320-06025,America/Goose_Bay,Atlantic Time - Labrador - most locations,-04:00,-03:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-240,-180
TC,+2128-07108,America/Grand_Turk,,-05:00,-04:00,,ISO 3166-1:TC,/wiki/ISO_3166-1:TC,,-300,-240
GD,+1203-06145,America/Grenada,,-04:00,-04:00,,ISO 3166-1:GD,/wiki/ISO_3166-1:GD,,-240,-240
GP,+1614-06132,America/Guadeloupe,,-04:00,-04:00,,ISO 3166-1:GP,/wiki/ISO_3166-1:GP,,-240,-240
GT,+1438-09031,America/Guatemala,,-06:00,-06:00,,ISO 3166-1:GT,/wiki/ISO_3166-1:GT,,-360,-360
EC,-0210-07950,America/Guayaquil,mainland,-05:00,-05:00,,ISO 3166-1:EC,/wiki/ISO_3166-1:EC,,-300,-300
GY,+0648-05810,America/Guyana,,-04:00,-04:00,,ISO 3166-1:GY,/wiki/ISO_3166-1:GY,,-240,-240
CA,+4439-06336,America/Halifax,"Atlantic Time - Nova Scotia (most places), PEI",-04:00,-03:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-240,-180
CU,+2308-08222,America/Havana,,-05:00,-04:00,,ISO 3166-1:CU,/wiki/ISO_3166-1:CU,,-300,-240
MX,+2904-11058,America/Hermosillo,Mountain Standard Time - Sonora,-07:00,-07:00,,ISO 3166-1:MX,/wiki/ISO_3166-1:MX,,-420,-420
US,+394606-0860929,America/Indiana/Indianapolis,Eastern Time - Indiana - most locations,-05:00,-04:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-300,-240
US,+411745-0863730,America/Indiana/Knox,Central Time - Indiana - Starke County,-06:00,-05:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-360,-300
US,+382232-0862041,America/Indiana/Marengo,Eastern Time - Indiana - Crawford County,-05:00,-04:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-300,-240
US,+382931-0871643,America/Indiana/Petersburg,Eastern Time - Indiana - Pike County,-05:00,-04:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-300,-240
US,+375711-0864541,America/Indiana/Tell_City,Central Time - Indiana - Perry County,-06:00,-05:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-360,-300
US,+384452-0850402,America/Indiana/Vevay,Eastern Time - Indiana - Switzerland County,-05:00,-04:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-300,-240
US,+384038-0873143,America/Indiana/Vincennes,"Eastern Time - Indiana - Daviess, Dubois, Knox & Martin Counties",-05:00,-04:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-300,-240
US,+410305-0863611,America/Indiana/Winamac,Eastern Time - Indiana - Pulaski County,-05:00,-04:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-300,-240
,,America/Indianapolis,,-05:00,-04:00,Link to America/Indiana/Indianapolis,,,America/Indiana/Indianapolis,-300,-240
CA,+682059-1334300,America/Inuvik,Mountain Time - west Northwest Territories,-07:00,-06:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-420,-360
CA,+6344-06828,America/Iqaluit,Eastern Time - east Nunavut - most locations,-05:00,-04:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-300,-240
JM,+1800-07648,America/Jamaica,,-05:00,-05:00,,ISO 3166-1:JM,/wiki/ISO_3166-1:JM,,-300,-300
,,America/Jujuy,,-03:00,-03:00,Link to America/Argentina/Jujuy,,,America/Argentina/Jujuy,-180,-180
US,+581807-1342511,America/Juneau,Alaska Time - Alaska panhandle,-09:00,-08:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-540,-480
US,+381515-0854534,America/Kentucky/Louisville,Eastern Time - Kentucky - Louisville area,-05:00,-04:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-300,-240
US,+364947-0845057,America/Kentucky/Monticello,Eastern Time - Kentucky - Wayne County,-05:00,-04:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-300,-240
,,America/Knox_IN,,-06:00,-05:00,Link to America/Indiana/Knox,,,America/Indiana/Knox,-360,-300
BQ,+120903-0681636,America/Kralendijk,,-04:00,-04:00,Link to America/Curacao,ISO 3166-1:BQ,/wiki/ISO_3166-1:BQ,America/Curacao,-240,-240
BO,-1630-06809,America/La_Paz,,-04:00,-04:00,,ISO 3166-1:BO,/wiki/ISO_3166-1:BO,,-240,-240
PE,-1203-07703,America/Lima,,-05:00,-05:00,,ISO 3166-1:PE,/wiki/ISO_3166-1:PE,,-300,-300
US,+340308-1181434,America/Los_Angeles,Pacific Time,-08:00,-07:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-480,-420
,,America/Louisville,,-05:00,-04:00,Link to America/Kentucky/Louisville,,,America/Kentucky/Louisville,-300,-240
SX,+180305-0630250,America/Lower_Princes,,-04:00,-04:00,Link to America/Curacao,ISO 3166-1:SX,/wiki/ISO_3166-1:SX,America/Curacao,-240,-240
BR,-0940-03543,America/Maceio,"Alagoas, Sergipe",-03:00,-03:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-180,-180
NI,+1209-08617,America/Managua,,-06:00,-06:00,,ISO 3166-1:NI,/wiki/ISO_3166-1:NI,,-360,-360
BR,-0308-06001,America/Manaus,E Amazonas,-04:00,-04:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-240,-240
MF,+1804-06305,America/Marigot,,-04:00,-04:00,Link to America/Guadeloupe,ISO 3166-1:MF,/wiki/ISO_3166-1:MF,America/Guadeloupe,-240,-240
MQ,+1436-06105,America/Martinique,,-04:00,-04:00,,ISO 3166-1:MQ,/wiki/ISO_3166-1:MQ,,-240,-240
MX,+2550-09730,America/Matamoros,"US Central Time - Coahuila, Durango, Nuevo León, Tamaulipas near US border",-06:00,-05:00,,ISO 3166-1:MX,/wiki/ISO_3166-1:MX,,-360,-300
MX,+2313-10625,America/Mazatlan,"Mountain Time - S Baja, Nayarit, Sinaloa",-07:00,-06:00,,ISO 3166-1:MX,/wiki/ISO_3166-1:MX,,-420,-360
,,America/Mendoza,,-03:00,-03:00,Link to America/Argentina/Mendoza,,,America/Argentina/Mendoza,-180,-180
US,+450628-0873651,America/Menominee,"Central Time - Michigan - Dickinson, Gogebic, Iron & Menominee Counties",-06:00,-05:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-360,-300
MX,+2058-08937,America/Merida,"Central Time - Campeche, Yucatán",-06:00,-05:00,,ISO 3166-1:MX,/wiki/ISO_3166-1:MX,,-360,-300
US,+550737-1313435,America/Metlakatla,Metlakatla Time - Annette Island,-08:00,-08:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-480,-480
MX,+1924-09909,America/Mexico_City,Central Time - most locations,-06:00,-05:00,,ISO 3166-1:MX,/wiki/ISO_3166-1:MX,,-360,-300
PM,+4703-05620,America/Miquelon,,-03:00,-02:00,,ISO 3166-1:PM,/wiki/ISO_3166-1:PM,,-180,-120
CA,+4606-06447,America/Moncton,Atlantic Time - New Brunswick,-04:00,-03:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-240,-180
MX,+2540-10019,America/Monterrey,"Mexican Central Time - Coahuila, Durango, Nuevo León, Tamaulipas away from US border",-06:00,-05:00,,ISO 3166-1:MX,/wiki/ISO_3166-1:MX,,-360,-300
UY,-3453-05611,America/Montevideo,,-03:00,-02:00,,ISO 3166-1:UY,/wiki/ISO_3166-1:UY,,-180,-120
CA,+4531-07334,America/Montreal,Eastern Time - Quebec - most locations,-05:00,-04:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-300,-240
MS,+1643-06213,America/Montserrat,,-04:00,-04:00,,ISO 3166-1:MS,/wiki/ISO_3166-1:MS,,-240,-240
BS,+2505-07721,America/Nassau,,-05:00,-04:00,,ISO 3166-1:BS,/wiki/ISO_3166-1:BS,,-300,-240
US,+404251-0740023,America/New_York,Eastern Time,-05:00,-04:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-300,-240
CA,+4901-08816,America/Nipigon,Eastern Time - Ontario & Quebec - places that did not observe DST 1967-1973,-05:00,-04:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-300,-240
US,+643004-1652423,America/Nome,Alaska Time - west Alaska,-09:00,-08:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-540,-480
BR,-0351-03225,America/Noronha,Atlantic islands,-02:00,-02:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-120,-120
US,+471551-1014640,America/North_Dakota/Beulah,Central Time - North Dakota - Mercer County,-06:00,-05:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-360,-300
US,+470659-1011757,America/North_Dakota/Center,Central Time - North Dakota - Oliver County,-06:00,-05:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-360,-300
US,+465042-1012439,America/North_Dakota/New_Salem,Central Time - North Dakota - Morton County (except Mandan area),-06:00,-05:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-360,-300
MX,+2934-10425,America/Ojinaga,US Mountain Time - Chihuahua near US border,-07:00,-06:00,,ISO 3166-1:MX,/wiki/ISO_3166-1:MX,,-420,-360
PA,+0858-07932,America/Panama,,-05:00,-05:00,,ISO 3166-1:PA,/wiki/ISO_3166-1:PA,,-300,-300
CA,+6608-06544,America/Pangnirtung,"Eastern Time - Pangnirtung, Nunavut",-05:00,-04:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-300,-240
SR,+0550-05510,America/Paramaribo,,-03:00,-03:00,,ISO 3166-1:SR,/wiki/ISO_3166-1:SR,,-180,-180
US,+332654-1120424,America/Phoenix,Mountain Standard Time - Arizona,-07:00,-07:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-420,-420
TT,+1039-06131,America/Port_of_Spain,,-04:00,-04:00,,ISO 3166-1:TT,/wiki/ISO_3166-1:TT,,-240,-240
HT,+1832-07220,America/Port-au-Prince,,-05:00,-04:00,,ISO 3166-1:HT,/wiki/ISO_3166-1:HT,,-300,-240
,,America/Porto_Acre,,-04:00,-04:00,Link to America/Rio_Branco,,,America/Rio_Branco,-240,-240
BR,-0846-06354,America/Porto_Velho,Rondonia,-04:00,-04:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-240,-240
PR,+182806-0660622,America/Puerto_Rico,,-04:00,-04:00,,ISO 3166-1:PR,/wiki/ISO_3166-1:PR,,-240,-240
CA,+4843-09434,America/Rainy_River,"Central Time - Rainy River & Fort Frances, Ontario",-06:00,-05:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-360,-300
CA,+624900-0920459,America/Rankin_Inlet,Central Time - central Nunavut,-06:00,-05:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-360,-300
BR,-0803-03454,America/Recife,Pernambuco,-03:00,-03:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-180,-180
CA,+5024-10439,America/Regina,Central Standard Time - Saskatchewan - most locations,-06:00,-06:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-360,-360
